Orientation,NAME,ID,LAT,LONG
East,09LBUZ,1,51.477627,-0.452000
East,09LBUZ,2,51.477482,-0.429574
East,09LBUZ,3,51.477581,-0.426402
East,09LBUZ,4,51.477802,-0.423446
East,09LBUZ,5,51.478191,-0.420380
East,09LBUZ,6,51.478603,-0.418004
East,09LBUZ,7,51.479244,-0.415300
East,09LBUZ,8,51.479881,-0.412976
East,09LBUZ,9,51.480572,-0.410826
East,09LBUZ,10,51.481758,-0.407722
East,09LBUZ,11,51.483948,-0.402816
East,09LBUZ,12,51.507374,-0.357679
East,09LBUZ,13,51.508347,-0.355763
East,09LBUZ,14,51.509636,-0.353098
East,09LBUZ,15,51.510925,-0.350251
East,09LBUZ,16,51.511890,-0.347763
East,09LBUZ,17,51.512962,-0.344823
East,09LBUZ,18,51.513664,-0.342334
East,09LBUZ,19,51.514347,-0.339610
East,09LBUZ,20,51.514893,-0.337462
East,09LBUZ,21,51.515450,-0.335284
East,09LBUZ,22,51.516293,-0.331962
East,09LBUZ,23,51.517021,-0.328846
East,09LBUZ,24,51.517456,-0.326977
East,09LBUZ,25,51.538792,-0.227936
East,09LBUZ,26,51.539932,-0.223377
East,09LBUZ,27,51.541309,-0.218376
East,09LBUZ,28,51.543018,-0.214970
East,09LBUZ,29,51.544090,-0.213099
East,09LBUZ,30,51.545223,-0.211287
East,09LBUZ,31,51.546196,-0.209838
East,09LBUZ,32,51.547264,-0.208401
East,09LBUZ,33,51.548424,-0.206918
East,09LBUZ,34,51.549629,-0.205548
East,09LBUZ,35,51.550861,-0.204274
East,09LBUZ,36,51.551945,-0.203272
East,09LBUZ,37,51.553272,-0.202197
East,09LBUZ,38,51.554523,-0.201341
East,09LBUZ,39,51.555923,-0.200531
East,09LBUZ,40,51.557671,-0.199709
East,09LBUZ,41,51.559032,-0.199279
East,09LBUZ,42,51.560677,-0.198850
East,09LBUZ,43,51.561909,-0.198623
East,09LBUZ,44,51.563377,-0.198404
East,09LBUZ,45,51.565189,-0.198312
East,09LBUZ,46,51.567093,-0.198430
East,09LBUZ,47,51.568890,-0.198742
East,09LBUZ,48,51.570244,-0.199104
East,09LBUZ,49,51.571804,-0.199610
East,09LBUZ,50,51.573433,-0.200238
East,09LBUZ,51,51.575760,-0.201417
East,09LBUZ,52,51.577240,-0.202317
East,09LBUZ,53,51.579327,-0.203727
East,09LBUZ,54,51.581352,-0.205320
East,09LBUZ,55,51.598049,-0.221801
West,27LMID,1,51.464909,-0.470121
West,27LMID,2,51.464733,-0.512648
West,27LMID,3,51.464718,-0.514838
West,27LMID,4,51.464600,-0.517214
West,27LMID,5,51.464428,-0.519943
West,27LMID,6,51.464203,-0.522659
West,27LMID,7,51.463814,-0.525880
West,27LMID,8,51.463219,-0.529217
West,27LMID,9,51.462452,-0.532458
West,27LMID,10,51.461578,-0.535593
West,27LMID,11,51.460613,-0.538870
West,27LMID,12,51.459564,-0.542231
West,27LMID,13,51.458420,-0.545470
West,27LMID,14,51.457256,-0.548703
West,27LMID,15,51.456085,-0.551936
West,27LMID,16,51.454906,-0.555161
West,27LMID,17,51.453800,-0.558132
West,27LMID,18,51.452915,-0.560557
West,27LMID,19,51.451797,-0.563672
West,27LMID,20,51.450619,-0.566896
West,27LMID,21,51.449429,-0.570129
West,27LMID,22,51.448242,-0.573361
West,27LMID,23,51.447075,-0.576599
West,27LMID,24,51.445873,-0.579767
West,27LMID,25,51.444252,-0.584261
West,27LMID,26,51.442677,-0.588759
West,27LMID,27,51.441299,-0.592297
West,27LMID,28,51.440079,-0.595325
West,27LMID,29,51.438633,-0.598149
West,27LMID,30,51.437187,-0.600707
West,27LMID,31,51.435677,-0.603200
West,27LMID,32,51.433990,-0.605652
West,27LMID,33,51.431866,-0.608393
West,27LMID,34,51.429607,-0.610894
West,27LMID,35,51.426971,-0.612962
West,27LMID,36,51.424507,-0.614115
West,27LMID,37,51.422581,-0.614658
West,27LMID,38,51.420540,-0.615129
West,27LMID,39,51.418804,-0.615180
West,27LMID,40,51.417194,-0.615224
West,27LMID,41,51.415470,-0.615216
West,27LMID,42,51.413567,-0.614832
West,27LMID,43,51.412018,-0.614381
West,27LMID,44,51.409470,-0.613513
West,27LMID,45,51.407272,-0.612702
West,27LMID,46,51.403488,-0.610705
West,27LMID,47,51.321087,-0.568203
East,09LDVR,1,51.477627,-0.452000
East,09LDVR,2,51.477482,-0.429574
East,09LDVR,3,51.477215,-0.426459
East,09LDVR,4,51.476959,-0.424131
East,09LDVR,5,51.476372,-0.420737
East,09LDVR,6,51.475548,-0.417561
East,09LDVR,7,51.474720,-0.414237
East,09LDVR,8,51.473862,-0.410951
East,09LDVR,9,51.473267,-0.408774
East,09LDVR,10,51.472458,-0.406247
East,09LDVR,11,51.469238,-0.397599
East,09LDVR,12,51.463760,-0.383050
East,09LDVR,13,51.449551,-0.345497
East,09LDVR,14,51.444462,-0.332079
East,09LDVR,15,51.442959,-0.328052
East,09LDVR,16,51.441635,-0.324262
East,09LDVR,17,51.439541,-0.317880
East,09LDVR,18,51.437786,-0.311985
East,09LDVR,19,51.436268,-0.306331
East,09LDVR,20,51.434803,-0.299873
East,09LDVR,21,51.433830,-0.294715
East,09LDVR,22,51.432999,-0.289478
East,09LDVR,23,51.405262,-0.094393
East,09LCPT,1,51.477627,-0.452000
East,09LCPT,2,51.477482,-0.429574
East,09LCPT,3,51.477253,-0.426831
East,09LCPT,4,51.476974,-0.424321
East,09LCPT,5,51.476669,-0.422200
East,09LCPT,6,51.476177,-0.419993
East,09LCPT,7,51.474056,-0.411678
East,09LCPT,8,51.473484,-0.409552
East,09LCPT,9,51.472904,-0.407609
East,09LCPT,10,51.471794,-0.404347
East,09LCPT,11,51.470657,-0.401143
East,09LCPT,12,51.469486,-0.397996
East,09LCPT,13,51.468178,-0.394953
East,09LCPT,14,51.466621,-0.392398
East,09LCPT,15,51.464954,-0.390273
East,09LCPT,16,51.463230,-0.388212
East,09LCPT,17,51.461555,-0.386242
East,09LCPT,18,51.459591,-0.384409
East,09LCPT,19,51.457565,-0.382919
East,09LCPT,20,51.455826,-0.381829
East,09LCPT,21,51.454365,-0.381000
East,09LCPT,22,51.452534,-0.380133
East,09LCPT,23,51.450741,-0.379434
East,09LCPT,24,51.448189,-0.378703
East,09LCPT,25,51.445633,-0.378217
East,09LCPT,26,51.442375,-0.377921
East,09LCPT,27,51.440334,-0.377940
East,09LCPT,28,51.438526,-0.378084
East,09LCPT,29,51.436245,-0.378468
East,09LCPT,30,51.433876,-0.379125
East,09LCPT,31,51.431862,-0.379945
East,09LCPT,32,51.429466,-0.381121
East,09LCPT,33,51.427509,-0.382241
East,09LCPT,34,51.426113,-0.383117
East,09LCPT,35,51.424461,-0.384326
East,09LCPT,36,51.422890,-0.385635
East,09LCPT,37,51.421768,-0.386671
East,09LCPT,38,51.419712,-0.388738
East,09LCPT,39,51.417862,-0.390775
East,09LCPT,40,51.416023,-0.392985
East,09LCPT,41,51.414928,-0.394409
East,09LCPT,42,51.413322,-0.396703
East,09LCPT,43,51.412045,-0.398731
East,09LCPT,44,51.410561,-0.401371
East,09LCPT,45,51.409363,-0.403815
East,09LCPT,46,51.408035,-0.406984
East,09LCPT,47,51.406544,-0.411285
East,09LCPT,48,51.405468,-0.415031
East,09LCPT,49,51.404625,-0.418623
East,09LCPT,50,51.404129,-0.421177
East,09LCPT,51,51.403503,-0.424584
East,09LCPT,52,51.402966,-0.427849
East,09LCPT,53,51.402336,-0.432639
East,09LCPT,54,51.401989,-0.437526
East,09LCPT,55,51.401855,-0.442601
East,09LCPT,56,51.402031,-0.448629
East,09LCPT,57,51.402081,-0.452818
East,09LCPT,58,51.402306,-0.457134
East,09LCPT,59,51.409924,-0.520468
East,09LCPT,60,51.417542,-0.583801
East,09RBPK,1,51.464931,-0.446962
East,09RBPK,2,51.464920,-0.425183
East,09RBPK,3,51.465069,-0.422125
East,09RBPK,4,51.465340,-0.419255
East,09RBPK,5,51.465752,-0.415802
East,09RBPK,6,51.466362,-0.412219
East,09RBPK,7,51.467117,-0.408607
East,09RBPK,8,51.467991,-0.405319
East,09RBPK,9,51.469009,-0.402237
East,09RBPK,10,51.470074,-0.399520
East,09RBPK,11,51.471699,-0.396341
East,09RBPK,12,51.473164,-0.393511
East,09RBPK,13,51.496658,-0.348064
East,09RBPK,14,51.519329,-0.304190
East,09RBPK,15,51.520748,-0.301260
East,09RBPK,16,51.522003,-0.298455
East,09RBPK,17,51.523529,-0.294376
East,09RBPK,18,51.524467,-0.291675
East,09RBPK,19,51.525284,-0.289300
East,09RBPK,20,51.526215,-0.286094
East,09RBPK,21,51.527161,-0.282641
East,09RBPK,22,51.538795,-0.227948
East,09RBPK,23,51.539768,-0.224051
East,09RBPK,24,51.540852,-0.220045
East,09RBPK,25,51.541714,-0.217043
East,09RBPK,26,51.542854,-0.213951
East,09RBPK,27,51.544418,-0.210475
East,09RBPK,28,51.546768,-0.206627
East,09RBPK,29,51.549122,-0.203423
East,09RBPK,30,51.551365,-0.200571
East,09RBPK,31,51.553677,-0.198258
East,09RBPK,32,51.555927,-0.196396
East,09RBPK,33,51.557858,-0.194977
East,09RBPK,34,51.560715,-0.193101
East,09RBPK,35,51.563076,-0.191787
East,09RBPK,36,51.566036,-0.190556
East,09RBPK,37,51.600468,-0.175297
West,27LDVR,1,51.464909,-0.470121
West,27LDVR,2,51.464718,-0.508839
West,27LDVR,3,51.464741,-0.510924
West,27LDVR,4,51.464558,-0.513733
West,27LDVR,5,51.464211,-0.517315
West,27LDVR,6,51.463779,-0.520510
West,27LDVR,7,51.463169,-0.523985
West,27LDVR,8,51.462246,-0.527700
West,27LDVR,9,51.461399,-0.530277
West,27LDVR,10,51.460304,-0.533045
West,27LDVR,11,51.458866,-0.535826
West,27LDVR,12,51.457142,-0.538204
West,27LDVR,13,51.455242,-0.540191
West,27LDVR,14,51.453175,-0.541607
West,27LDVR,15,51.451420,-0.542384
West,27LDVR,16,51.448933,-0.543042
West,27LDVR,17,51.446667,-0.543364
West,27LDVR,18,51.443825,-0.543349
West,27LDVR,19,51.440880,-0.542650
West,27LDVR,20,51.438484,-0.541508
West,27LDVR,21,51.436005,-0.539784
West,27LDVR,22,51.433231,-0.537487
West,27LDVR,23,51.430328,-0.534899
West,27LDVR,24,51.427544,-0.532029
West,27LDVR,25,51.424889,-0.529218
West,27LDVR,26,51.422287,-0.526213
West,27LDVR,27,51.328468,-0.385824
East,09RDVR,1,51.464931,-0.446962
East,09RDVR,2,51.464920,-0.425184
East,09RDVR,3,51.464844,-0.420441
East,09RDVR,4,51.464642,-0.417149
East,09RDVR,5,51.464321,-0.413721
East,09RDVR,6,51.463890,-0.410277
East,09RDVR,7,51.463482,-0.407088
East,09RDVR,8,51.462708,-0.403078
East,09RDVR,9,51.461926,-0.400092
East,09RDVR,10,51.461082,-0.397477
East,09RDVR,11,51.446438,-0.357881
East,09RDVR,12,51.444927,-0.353427
East,09RDVR,13,51.443756,-0.349904
East,09RDVR,14,51.442696,-0.346692
East,09RDVR,15,51.441582,-0.342909
East,09RDVR,16,51.440887,-0.340109
East,09RDVR,17,51.440109,-0.336713
East,09RDVR,18,51.439377,-0.333112
East,09RDVR,19,51.438667,-0.329490
East,09RDVR,20,51.438011,-0.325870
East,09RDVR,21,51.437508,-0.322550
East,09RDVR,22,51.436924,-0.318294
East,09RDVR,23,51.404114,-0.088100
East,09RSAM,1,51.464931,-0.446962
East,09RSAM,2,51.464928,-0.425182
East,09RSAM,3,51.464779,-0.422788
East,09RSAM,4,51.464481,-0.419844
East,09RSAM,5,51.464077,-0.416618
East,09RSAM,6,51.463486,-0.413457
East,09RSAM,7,51.462456,-0.410038
East,09RSAM,8,51.461529,-0.407421
East,09RSAM,9,51.441780,-0.360887
East,09RSAM,10,51.436184,-0.349543
East,09RSAM,11,51.435154,-0.347387
East,09RSAM,12,51.433659,-0.344663
East,09RSAM,13,51.432449,-0.342745
East,09RSAM,14,51.431309,-0.341100
East,09RSAM,15,51.430187,-0.339659
East,09RSAM,16,51.428616,-0.337830
East,09RSAM,17,51.426517,-0.335625
East,09RSAM,18,51.424656,-0.333901
East,09RSAM,19,51.422737,-0.332354
East,09RSAM,20,51.420776,-0.330977
East,09RSAM,21,51.419075,-0.329946
East,09RSAM,22,51.416821,-0.328827
East,09RSAM,23,51.414658,-0.327890
East,09RSAM,24,51.412464,-0.327062
East,09RSAM,25,51.410908,-0.326584
East,09RSAM,26,51.409466,-0.326254
East,09RSAM,27,51.407452,-0.325971
East,09RSAM,28,51.405876,-0.325862
East,09RSAM,29,51.404419,-0.325873
East,09RSAM,30,51.402401,-0.326012
East,09RSAM,31,51.400246,-0.326284
East,09RSAM,32,51.398006,-0.326756
East,09RSAM,33,51.395775,-0.327374
East,09RSAM,34,51.393333,-0.328285
East,09RSAM,35,51.391262,-0.329274
East,09RSAM,36,51.389236,-0.330415
East,09RSAM,37,51.387047,-0.331912
East,09RSAM,38,51.385235,-0.333414
East,09RSAM,39,51.383171,-0.335332
East,09RSAM,40,51.381355,-0.337575
East,09RSAM,41,51.379524,-0.340127
East,09RSAM,42,51.329258,-0.412499
East,09RSAM,43,51.327507,-0.415014
East,09RSAM,44,51.325794,-0.417606
East,09RSAM,45,51.324429,-0.419892
East,09RSAM,46,51.323097,-0.422234
East,09RSAM,47,51.321762,-0.424583
East,09RSAM,48,51.320229,-0.427277
East,09RSAM,49,51.318745,-0.430039
East,09RSAM,50,51.317410,-0.432754
East,09RSAM,51,51.316330,-0.435022
East,09RSAM,52,51.315014,-0.437865
East,09RSAM,53,51.313709,-0.440715
East,09RSAM,54,51.312778,-0.442741
East,09RSAM,55,51.311890,-0.444815
East,09RSAM,56,51.310802,-0.447556
East,09RSAM,57,51.309612,-0.450653
East,09RSAM,58,51.308437,-0.453762
East,09RSAM,59,51.306400,-0.458922
West,27LSAM,1,51.464909,-0.470121
West,27LSAM,2,51.464615,-0.585423
West,27LSAM,3,51.464653,-0.588070
West,27LSAM,4,51.464649,-0.591059
West,27LSAM,5,51.464622,-0.594161
West,27LSAM,6,51.464546,-0.597878
West,27LSAM,7,51.464409,-0.601614
West,27LSAM,8,51.464268,-0.604783
West,27LSAM,9,51.464146,-0.607751
West,27LSAM,10,51.463989,-0.610243
West,27LSAM,11,51.463737,-0.612674
West,27LSAM,12,51.463455,-0.615106
West,27LSAM,13,51.462940,-0.619039
West,27LSAM,14,51.457886,-0.651313
West,27LSAM,15,51.457344,-0.654973
West,27LSAM,16,51.456966,-0.658191
West,27LSAM,17,51.456696,-0.661073
West,27LSAM,18,51.456486,-0.663666
West,27LSAM,19,51.456303,-0.665981
West,27LSAM,20,51.456024,-0.669607
West,27LSAM,21,51.455833,-0.672390
West,27LSAM,22,51.455746,-0.674966
West,27LSAM,23,51.455601,-0.679064
West,27LSAM,24,51.455475,-0.682683
West,27LSAM,25,51.455338,-0.687048
West,27LSAM,26,51.455158,-0.691510
West,27LSAM,27,51.453732,-0.807590
West,27LSAM,28,51.453510,-0.810452
West,27LSAM,29,51.453304,-0.812682
West,27LSAM,30,51.452946,-0.815604
West,27LSAM,31,51.452366,-0.819180
West,27LSAM,32,51.451675,-0.822612
West,27LSAM,33,51.450905,-0.826014
West,27LSAM,34,51.450047,-0.828958
West,27LSAM,35,51.448963,-0.832008
West,27LSAM,36,51.447643,-0.835353
West,27LSAM,37,51.445618,-0.838875
West,27LSAM,38,51.443249,-0.841857
West,27RDVR,1,51.477612,-0.470121
West,27RDVR,2,51.477249,-0.517439
West,27RDVR,3,51.477032,-0.520485
West,27RDVR,4,51.476826,-0.522890
West,27RDVR,5,51.476578,-0.525428
West,27RDVR,6,51.476181,-0.528622
West,27RDVR,7,51.475735,-0.531488
West,27RDVR,8,51.475018,-0.534947
West,27RDVR,9,51.473919,-0.538210
West,27RDVR,10,51.472473,-0.541452
West,27RDVR,11,51.471046,-0.544273
West,27RDVR,12,51.469563,-0.547035
West,27RDVR,13,51.467354,-0.550200
West,27RDVR,14,51.464565,-0.552791
West,27RDVR,15,51.461353,-0.554517
West,27RDVR,16,51.457958,-0.555374
West,27RDVR,17,51.455906,-0.555652
West,27RDVR,18,51.453407,-0.555676
West,27RDVR,19,51.451130,-0.555301
West,27RDVR,20,51.448883,-0.554601
West,27RDVR,21,51.446899,-0.553726
West,27RDVR,22,51.444698,-0.552789
West,27RDVR,23,51.442432,-0.551510
West,27RDVR,24,51.440964,-0.550502
West,27RDVR,25,51.439133,-0.549025
West,27RDVR,26,51.437561,-0.547559
West,27RDVR,27,51.435677,-0.545574
West,27RDVR,28,51.433865,-0.543421
West,27RDVR,29,51.431381,-0.540264
West,27RDVR,30,51.328468,-0.385824
West,27RCPT,1,51.477612,-0.470121
West,27RCPT,2,51.477249,-0.517438
West,27RCPT,3,51.477158,-0.521100
West,27RCPT,4,51.477043,-0.524013
West,27RCPT,5,51.476883,-0.526895
West,27RCPT,6,51.476711,-0.529250
West,27RCPT,7,51.476486,-0.531951
West,27RCPT,8,51.476227,-0.534663
West,27RCPT,9,51.476006,-0.536624
West,27RCPT,10,51.475788,-0.538613
West,27RCPT,11,51.468559,-0.584283
West,27RCPT,12,51.458405,-0.647985
West,27RCPT,13,51.457504,-0.654292
West,27RCPT,14,51.456898,-0.659753
West,27RCPT,15,51.456257,-0.666341
West,27RCPT,16,51.455833,-0.672284
West,27RCPT,17,51.455578,-0.679794
West,27RCPT,18,51.455341,-0.685928
West,27RCPT,19,51.453121,-0.845277
West,27RWOB,1,51.477612,-0.470121
West,27RWOB,2,51.477249,-0.517440
West,27RWOB,3,51.477180,-0.521430
West,27RWOB,4,51.477203,-0.525601
West,27RWOB,5,51.477367,-0.529689
West,27RWOB,6,51.477692,-0.533706
West,27RWOB,7,51.478085,-0.537443
West,27RWOB,8,51.478565,-0.541521
West,27RWOB,9,51.478973,-0.544688
West,27RWOB,10,51.479504,-0.548387
West,27RWOB,11,51.479977,-0.551674
West,27RWOB,12,51.480579,-0.555394
West,27RWOB,13,51.481247,-0.558919
West,27RWOB,14,51.481949,-0.562105
West,27RWOB,15,51.482685,-0.564948
West,27RWOB,16,51.483585,-0.568059
West,27RWOB,17,51.484474,-0.571027
West,27RWOB,18,51.485664,-0.574486
West,27RWOB,19,51.486507,-0.577073
West,27RWOB,20,51.487679,-0.580793
West,27RWOB,21,51.488632,-0.583690
West,27RWOB,22,51.508884,-0.645843
West,27RWOB,23,51.510307,-0.648948
West,27RWOB,24,51.511883,-0.651766
West,27RWOB,25,51.513107,-0.653711
West,27RWOB,26,51.514679,-0.655978
West,27RWOB,27,51.516190,-0.658021
West,27RWOB,28,51.517979,-0.660176
West,27RWOB,29,51.519432,-0.661811
West,27RWOB,30,51.520824,-0.663196
West,27RWOB,31,51.522263,-0.664625
West,27RWOB,32,51.523727,-0.666040
West,27RWOB,33,51.525734,-0.667720
West,27RWOB,34,51.527706,-0.668962
West,27RWOB,35,51.529026,-0.669707
West,27RWOB,36,51.530350,-0.670410
West,27RWOB,37,51.532070,-0.671181
West,27RWOB,38,51.533520,-0.671831
West,27RWOB,39,51.535473,-0.672677
West,27RWOB,40,51.537632,-0.673538
West,27RWOB,41,51.539795,-0.674239
West,27RWOB,42,51.541988,-0.674925
West,27RWOB,43,51.544060,-0.675538
West,27RWOB,44,51.546112,-0.676112
West,27RWOB,45,51.548313,-0.676688
West,27RWOB,46,51.550549,-0.677257
West,27RWOB,47,51.552769,-0.677783
West,27RWOB,48,51.554184,-0.678083
West,27RWOB,49,51.555614,-0.678370
West,27RWOB,50,51.557056,-0.678656
West,27RWOB,51,51.558475,-0.678918
West,27RWOB,52,51.560787,-0.679234
West,27RWOB,53,51.563103,-0.679541
West,27RWOB,54,51.583576,-0.682236
West,27RBPK,1,51.477612,-0.470121
West,27RBPK,2,51.477249,-0.517439
West,27RBPK,3,51.477177,-0.521245
West,27RBPK,4,51.477192,-0.524942
West,27RBPK,5,51.477249,-0.527326
West,27RBPK,6,51.477413,-0.530344
West,27RBPK,7,51.478584,-0.541691
West,27RBPK,8,51.481026,-0.557891
West,27RBPK,9,51.481537,-0.560181
West,27RBPK,10,51.482071,-0.562555
West,27RBPK,11,51.482658,-0.564852
West,27RBPK,12,51.483616,-0.568150
West,27RBPK,13,51.484585,-0.571452
West,27RBPK,14,51.485668,-0.574687
West,27RBPK,15,51.486744,-0.577930
